﻿Douban URL,Douban Book Title,Goodreads URL,Goodreads Book Title
https://book.douban.com/subject/1464203/,冰与火之歌（卷二）,https://www.goodreads.com/book/show/10572.A_Clash_of_Kings,A Clash of Kings
https://book.douban.com/subject/2035162/,刀锋,https://www.goodreads.com/book/show/31196.The_Razor_s_Edge,The Razor's Edge
https://book.douban.com/subject/10555486/,分成两半的子爵,https://www.goodreads.com/book/show/112480.Il_visconte_dimezzato,Il visconte dimezzato
https://book.douban.com/subject/1037602/,别闹了，费曼先生,https://www.goodreads.com/book/show/35167685-surely-you-re-joking-mr-feynman,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character"
https://book.douban.com/subject/2035179/,动物农场,https://www.goodreads.com/book/show/170448.Animal_Farm,Animal Farm
https://book.douban.com/subject/1143694/,动物凶猛,https://www.goodreads.com/book/show/23810865,动物凶猛
https://book.douban.com/subject/2567919/,匆匆那年（上下）,https://www.goodreads.com/book/show/12148245,匆匆那年
https://book.douban.com/subject/1963684/,半生缘,https://www.goodreads.com/book/show/25937741-half-a-lifelong-romance,Half a Lifelong Romance
https://book.douban.com/subject/5916880/,华胥引（全二册）,https://www.goodreads.com/book/show/17828322,华胥引
https://book.douban.com/subject/1440972/,博尔赫斯小说集,https://www.goodreads.com/book/show/17961.Collected_Fictions,Collected Fictions
https://book.douban.com/subject/10740776/,占星术杀人魔法,https://www.goodreads.com/book/show/1321926.The_Tokyo_Zodiac_Murders,The Tokyo Zodiac Murders
https://book.douban.com/subject/1066165/,卡尔维诺文集（第三卷）,https://www.goodreads.com/book/show/9806.Our_Ancestors,"Our Ancestors: The Cloven Viscount, The Baron in the Trees, The Non-Existent Knight"
https://book.douban.com/subject/1856494/,卡拉马佐夫兄弟,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,The Brothers Karamazov
https://book.douban.com/subject/1027191/,历史深处的忧虑,https://www.goodreads.com/book/show/6072646,历史深处的忧虑：近距离看美国之一
https://book.douban.com/subject/25836270/,厌女,https://www.goodreads.com/book/show/51874366-disgust-against-women,Disgust against Women (The Feeling of Disgust against Females in Japan)
https://book.douban.com/subject/2331434/,原来你还在这里,https://www.goodreads.com/book/show/26166776-right-here-waiting,Right Here Waiting原来你还在这里
https://book.douban.com/subject/1760432/,受戒,https://www.goodreads.com/book/show/30735902,受戒
https://book.douban.com/subject/1213546/,变形记,https://www.goodreads.com/book/show/485894.The_Metamorphosis,The Metamorphosis
https://book.douban.com/subject/1014561/,古文观止,https://www.goodreads.com/book/show/18870949,古文观止
https://book.douban.com/subject/1420423/,古汉语常用字字典,https://www.goodreads.com/book/show/3217118,古汉语常用字字典
https://book.douban.com/subject/10471333/,叫魂,https://www.goodreads.com/book/show/61543.Soulstealers,Soulstealers: The Chinese Sorcery Scare of 1768
https://book.douban.com/subject/3860856/,可爱的洪水猛兽,https://www.goodreads.com/book/show/19259257,可爱的洪水猛兽: 我就像这个世界
https://book.douban.com/subject/5337248/,台北人,https://www.goodreads.com/book/show/1035825.Taipei_People,Taipei People
https://book.douban.com/subject/6798611/,史蒂夫·乔布斯传,https://www.goodreads.com/book/show/11084145-steve-jobs,Steve Jobs
https://book.douban.com/subject/1077847/,史记（全十册）,https://www.goodreads.com/book/show/6316920,史记
https://book.douban.com/subject/1138986/,名侦探柯南42,https://www.goodreads.com/book/show/1266106._42,名探偵コナン 42
https://book.douban.com/subject/2004407/,后宫·甄嬛传Ⅰ,https://www.goodreads.com/book/show/22674805,后宫·甄嬛传Ⅰ
